limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  116.2404] I/Host: Status: Varredura 'Goal-Storm-SLUS-00055.chd'...
[  116.2870] I/Host: Status: Varredura 'Gochachiru-Limited-Edition-Pandora-Max-Series-Vol5-SLPS-02944.chd'...
[  116.3161] I/Host: Status: Varredura 'Godzilla-Trading-Battle-SLPS-01470.chd'...
[  116.3424] I/Host: Status: Varredura 'Goemon-Shin-Sedai-Shuumei-SLPM-86997.chd'...
[  116.4114] I/Host: Status: Varredura 'Gogo-I-Land-SLPS-03061-Disc1.chd'...
[  116.7006] I/Host: Status: Varredura 'Goiken-Muyou-II-SLPS-01542.chd'...
[  116.7286] I/Host: Status: Varredura 'Gokujou-Parodius-Deluxe-Pack-SLPS-00002.chd'...
[  116.7666] I/Host: Status: Varredura 'Gokuu-Densetsu-Magic-Beast-Warriors-SLPS-00048.chd'...
[  116.8157] I/Host: Status: Varredura 'Golden-Goal-98-SLES-00012.chd'...
[  116.8811] I/Host: Status: Varredura 'Golden-Goal-98-SLES-01222(1).chd'...
[  116.9144] I/Host: Status: Varredura 'Golden-Goal-98-SLES-01222.chd'...
[  116.9654] I/Host: Status: Varredura 'Golden-Nugget-SLUS-00555-Disc2.chd'...
[  117.0097] I/Host: Status: Varredura 'Golden-Tee-Golf-Peter-Jacobson's-SLUS-01130.chd'...
[  117.0447] I/Host: Status: Varredura 'Golgo-13-Karairu-No-Yabou-SLPS-01712.chd'...
[  117.0745] I/Host: Status: Varredura 'Golgo-13-Kenenai-Guntai-SLPS-01713.chd'...
[  117.1245] I/Host: Status: Varredura 'Goo-Goo-Soundy-SLPM-86250.chd'...
[  117.1616] I/Host: Status: Varredura 'Gotatsujin-Electro-SLPS-01620.chd'...
[  117.1837] I/Host: Status: Varredura 'Gotha-II-Tenkuu-No-Kishi-SLPS-00422(1).chd'...
[  117.2377] I/Host: Status: Varredura 'Gotha-II-Tenkuu-No-Kishi-SLPS-00422.chd'...
[  117.2945] I/Host: Status: Varredura 'Gotouchi-Hello-Kitty-Sugoroku-Monogatari-SLPS-03552.chd'...
[  117.3263] I/Host: Status: Varredura 'Gouketsuji-Ichizoku-2-Chottodake-Saikyou-Densetsu-SLPS-00104.chd'...
[  117.3750] I/Host: Status: Varredura 'Gouketuji-Ichizoku-2-Chottodake-Saikyou-Densetsu-SLPS-00104.chd'...
[  117.4102] I/Host: Status: Varredura 'GP-Challenge-SLES-03207.chd'...
[  117.4574] I/Host: Status: Varredura 'Gradius-Deluxe-Pack-SLPS-00303.chd'...
[  117.4996] I/Host: Status: Varredura 'Gradius-Gaiden-SLPM-86042.chd'...
[  117.5439] I/Host: Status: Varredura 'Gran-Turismo-2-SCUS-94455.chd'...
[  117.5806] I/Host: Status: Varredura 'Gran-Turismo-2-SCUS-94488.chd'...
[  117.6228] I/Host: Status: Varredura 'Gran-Turismo-2-SCUS-94588.chd'...
[  117.6397] I/Host: Status: Varredura 'Gran-Turismo-2-The-Real-Driving-Simulator-SCUS-94588.chd'...
[  117.6797] I/Host: Status: Varredura 'Gran-Turismo-SCUS-94194.chd'...
[  117.7353] I/Host: Status: Varredura 'Grand-Slam-'97-SLUS-00127.chd'...
[  117.7711] I/Host: Status: Varredura 'Grand-Theft-Auto-2-SLUS-00789.chd'...
